ticket_id,category,room,description,priority
1026,Maintenance,bedroom,blinds in bedroom 3 not opening,Medium
1034,Maintenance,unit,Fire alarm keeps going off ,High
1035,Heating,unit,Heating not turning on.,High
1036,Heating ,unit,Heating system failing to maintain consistent temperature. ,Medium
1037,Pest Control ,Kitchen,Mouse seen in kitcken also mouse dropping on kitchen floor.,High
1038,Heating,bedroom,Radiator in bedroom 1 not heating up and is making strange noises,Medium
1039,Heating,bedroom,Radiator in bedroom 1 making strange noises ,Medium
1040,Plumbing,bathroom,sink dripping water ,Low
1041,Maintenance,bedroom,blinds in bedroom 1 not closing,Medium
1042,Plumbing,bathroom,Toilet blocked in bathroom 2,Medium
1043,Pest Control ,bedroom,mouse seen in bedroom and hear at night ,High
1044,Maintenance,living room,musty odor and visible black mildew growth found on the baseboard and carpet in the living room,Medium
1045,Maintenance,bedroom,Hole in the drywall of bedroom 3,Low
1046,Electrical,kitchen,The kitchen outlet next to the sink is not working,Low
1047,Electrical,living room,The outlet next to the couch is not working,Low
1049,Appliance,kitchen,Hob not turning on ,Medium
1050,Appliance,bathroom,Shower not heating up,Medium
1051,Other,bathroom,Bathroom not being cleaned ,Medium
1052,Maintenance,bedroom,Paint in the bathroom is chiping and dull,Low
1048,Plumbing,bathroom,sink dripping water in bathroom,Low
1055,Plumbing,kitchen,sink in kitchen is dripping water,Low
1056,Plumbing,bathroom,Toilet blocked ,Medium
1057,Maintenance,bedroom,visible black mildew growth found on the baseboard and carpet in bedroom 2,Medium
1058,Plumbing,kitchen,Small leak under the kitchen sink,High
1059,Maintenance,bathroom,Mold and Mildew visible on the ceiling above the shower,Medium
1060,Maintenance,bedroom,Smoke detector in the second bedroom is chirping constantly,Low
1061,Appliance,kitchen,Refrigerator is not cooling properly,Medium
1061,Plumbing,bathroom,Toilet in bathroom 2 is backing up and overflowing,High
1062,Maintenance,bathroom,Grout in the shower stall is cracking and discoloured.,Low
1063,Plumbing,unit,no hot water in apartment 3.,High
1064,Maintenance,bedroom,Bedroom window is very drafty and difficult to lock.,Medium
1065,Other,unit,"Loud, intermittent knocking/hammering sound coming from the wall/ceiling above the bedroom.",Medium
1060,Maintenance,bedroom,Smoke detector in the second bedroom is chirping constantly Please check as soon as possible.,Low
4,Other,living room,living room not being cleaned. Please check as soon as possible.,Low
41,Maintenance,bathroom,Paint in the bathroom chiping Issue seems to be getting worse.,Low
9,Maintenance,living room,Light in living room not turing on Needs maintenance attention.,Low
9,Maintenance,living room,Light in living room not turing on Needs maintenance attention.,Low
12,Maintenance,living room,mold growing in the living room under the window Needs maintenance attention.,Medium
1060,Maintenance,bedroom,Smoke detector in the second bedroom is chirping constantly Follow-up may be required.,Low
17,Electrical,living room,Bulb in the living room is bLown. Resident reported continued problems.,Low
17,Electrical,living room,Bulb in the living room is bLown. Issue seems to be getting worse.,Low
1055,Plumbing,kitchen,sink in kitchen is dripping water Needs maintenance attention.,Low
1040,Plumbing,bathroom,sink dripping water  Follow-up may be required.,Low
23,Other,bathroom,Bathroom not being cleaned  Issue seems to be getting worse.,Low
24,Heating ,unit,Heating system failing to maintain consistent temperature. Follow-up may be required.,High
24,Heating ,unit,Heating system failing to maintain consistent temperature. Needs maintenance attention.,High
1046,Electrical,kitchen,The kitchen outlet next to the sink is not working Resident reported continued problems.,Low
965,Heating,living room,Radiator in living room not heating up also making a strange noise Follow-up may be required.,Medium
1058,Plumbing,kitchen,Small leak under the kitchen sink Follow-up may be required.,High
4,Other,living room,living room not being cleaned. Please check as soon as possible.,Low
1045,Maintenance,bedroom,Hole in the drywall of bedroom 3 Issue seems to be getting worse.,Low
1049,Appliance,kitchen,Hob not turning on  Issue seems to be getting worse.,Medium
41,Maintenance,bathroom,Paint in the bathroom chiping Issue seems to be getting worse.,Low
1041,Maintenance,bedroom,blinds in bedroom 1 not closing Needs maintenance attention.,Medium
16,Electrical,living room,Outlet in living room not working. Follow-up may be required.,Low
1051,Other,bathroom,Bathroom not being cleaned  Follow-up may be required.,Medium
1040,Plumbing,bathroom,sink dripping water  Needs maintenance attention.,Low
1061,Appliance,kitchen,Refrigerator is not cooling properly Follow-up may be required.,Medium
1064,Maintenance,bedroom,Bedroom window is very drafty and difficult to lock. Needs maintenance attention.,Medium
37,Maintenance,living room,Broken window latch on living room window Follow-up may be required.,Low
15,Maintenance,bathroom,Mold growing in the bathroom near shower. Resident reported continued problems.,Medium
1062,Maintenance,bathroom,Grout in the shower stall is cracking and discoloured. Issue seems to be getting worse.,Low
1049,Appliance,kitchen,Hob not turning on  Please check as soon as possible.,Medium
1056,Plumbing,bathroom,Toilet blocked  Issue seems to be getting worse.,Medium
956,Electrical,bedroom,Light flickering in bedroom 4  Needs maintenance attention.,Low
76,Heating,unit,Heater making funny noise still working normily  Follow-up may be required.,Medium
16,Electrical,living room,Outlet in living room not working. Issue seems to be getting worse.,Low
9,Maintenance,living room,Light in living room not turing on Resident reported continued problems.,Low
13,Plumbing,kitchen,Kitchen sink leaking water into the sink. Please check as soon as possible.,Medium
68,Plumbing,unit,No water to the whole apartment Follow-up may be required.,High
10,Appliance ,kitchen,Oven not turning on. Follow-up may be required.,Medium
12,Maintenance,living room,mold growing in the living room under the window Resident reported continued problems.,Medium
1035,Heating,unit,Heating not turning on. Needs maintenance attention.,High
955,Plumbing,kitchen,Leaky tap in kitchen  Follow-up may be required.,Low
71,Other,kitchen,Bins not being taken out by roommates  Issue seems to be getting worse.,Low
10,Appliance ,kitchen,Oven not turning on. Needs maintenance attention.,Medium
4,Other,living room,living room not being cleaned. Resident reported continued problems.,Low
108,Heating,unit,Heating not turning on  Resident reported continued problems.,High
7,Plumbing,bathroom,Water is leaking from from the ceiling in the bathroom. Needs maintenance attention.,High
1037,Pest Control ,Kitchen,Mouse seen in kitcken also mouse dropping on kitchen floor. Please check as soon as possible.,High
1037,Pest Control ,Kitchen,Mouse seen in kitcken also mouse dropping on kitchen floor. Please check as soon as possible.,High
7,Plumbing,bathroom,Water is leaking from from the ceiling in the bathroom. Please check as soon as possible.,High
